Epoch,Training Loss,Validation Loss
1,0.008356868289411068,0.0018701172666624188
2,0.001832258072681725,0.001654395367950201
3,0.001645968179218471,0.0014681577449664474
4,0.0015265122056007385,0.0015365754952654243
5,0.0014001784147694707,0.004351187031716108
6,0.0014852501917630434,0.0014858910581097007
7,0.0013629267923533916,0.0011110124178230762
8,0.001293269800953567,0.0017230978701263666
9,0.001233987626619637,0.0012163517531007528
10,0.0011768069816753268,0.0032402409706264734
11,0.0012130152899771929,0.0032869717106223106
12,0.0011026158463209867,0.0018469620263203979
13,0.0010207891464233398,0.0022920374758541584
14,0.0010532174492254853,0.002849914599210024
15,0.0011432147584855556,0.0018102925969287753
16,0.0009122230694629252,0.002048129914328456
17,0.001077063730917871,0.003236164106056094
18,0.0009917967254295945,0.0010509917046874762
19,0.0008809745195321739,0.0010765378829091787
20,0.0008366782567463815,0.0009569888934493065
