Epoch,Training Loss,Validation Loss
1,0.007544447667896748,0.0019017084268853068
2,0.001621062634512782,0.0017018279759213328
3,0.0014889865415170789,0.002904667053371668
4,0.0013324228348210454,0.0015210690908133984
5,0.0011932794004678726,0.0014984006993472576
6,0.0012668012641370296,0.0030564810149371624
7,0.0012333182385191321,0.0013165264390408993
8,0.0011329423869028687,0.004459457006305456
9,0.001138246268965304,0.0012902019079774618
10,0.0010634753853082657,0.0021554995328187943
11,0.0009896999690681696,0.0015048671048134565
12,0.0009801237611100078,0.0023237946443259716
13,0.0009364999132230878,0.0012303699040785432
14,0.0009927675127983093,0.0019962682854384184
15,0.0011587877525016665,0.002089547226205468
16,0.0008154285605996847,0.0016504572704434395
17,0.0008550801430828869,0.0012850924395024776
18,0.0008147747721523046,0.001641671871766448
19,0.0007688718615099788,0.0011898746015504003
20,0.0008122317376546562,0.000893588934559375
